,name_first,country,level,gender,F,M,?
36267,Hyok,KR,1.0,?,0.0,0.0,1.0
44584,Min-Su,KR,1.0,F,1.0,0.0,0.0
53500,Tommy Songfong,US,2.0,M,0.0,1.0,0.0
38573,Axel,FR,1.0,M,0.0,1.0,0.0
21456,Jun Hua,CN,3.0,M,0.0,1.0,0.0
7838,Qiji,CN,,not found,not found,not found,not found
37255,Ilyas,US,1.0,M,0.0,1.0,0.0
21457,Nalinaksh,US,3.0,M,0.0,1.0,0.0
42714,Sohel,IN,1.0,M,0.0,1.0,0.0
21458,Juan,CN,3.0,M,0.0,1.0,0.0
29772,Hiroki,JP,1.0,M,0.0,1.0,0.0
44162,Christof,DE,1.0,M,0.0,1.0,0.0
7839,Yuncai,CN,,not found,not found,not found,not found
7840,Kunhee,KR,,not found,not found,not found,not found
21459,Ping,CN,3.0,M,0.0,1.0,0.0
21460,Tapabrata,US,3.0,M,0.0,1.0,0.0
49623,Jorge,US,2.0,M,0.0,1.0,0.0
34242,José Ignacio,ES,1.0,M,0.0,1.0,0.0
45257,Kheira Anissa,AE,1.0,F,1.0,0.0,0.0
7841,Vamshi,US,,not found,not found,not found,not found
21461,Hou-Yen,TW,3.0,F,1.0,0.0,0.0
7842,Jianglin,CN,,not found,not found,not found,not found
21462,Qiuhua,CN,3.0,F,1.0,0.0,0.0
7843,Jianlei,US,,not found,not found,not found,not found
39926,Carmel,US,1.0,F,0.84176999,0.0,0.0
7844,Dayue,US,,not found,not found,not found,not found
39485,Cheryl Lynn,US,1.0,F,0.99777424,0.0,0.0
7845,Qinglin,CN,,not found,not found,not found,not found
32048,Satoshi,JP,1.0,M,0.0,1.0,0.0
42636,Tae Hoon,KR,1.0,M,0.0,1.0,0.0
36546,Jae-sang,KR,1.0,?,0.0,0.0,1.0
7846,Minuk,KR,,not found,not found,not found,not found
34247,Joshna,IN,1.0,F,1.0,0.0,0.0
21463,Jihoon,KR,3.0,M,0.0,1.0,0.0
46503,Benjamin,US,2.0,M,0.0,1.0,0.0
53286,Swaroop Kumar,IN,2.0,F,1.0,0.0,0.0
51107,Michael H.-S.,US,2.0,M,0.0,1.0,0.0
32582,Kera,US,1.0,F,1.0,0.0,0.0
32785,Khalid Fahad,SA,1.0,M,0.0,1.0,0.0
46711,Brian S.,US,2.0,M,0.0,1.0,0.0
7847,Fei,CN,,not found,not found,not found,not found
7848,Fangliang,CN,,not found,not found,not found,not found
7849,Guosen,US,,not found,not found,not found,not found
7850,Yingchong,US,,not found,not found,not found,not found
21464,Lixin,CN,3.0,M,0.0,1.0,0.0
7851,Joungwook,KR,,not found,not found,not found,not found
42388,Anis,AE,1.0,M,0.0,1.0,0.0
21465,Haranatha,US,3.0,M,0.0,1.0,0.0
39896,Byoung Kwang,KR,1.0,?,0.0,0.0,1.0
21466,Zhiguo,CN,3.0,M,0.0,1.0,0.0
37913,Valentina Di,IT,1.0,F,1.0,0.0,0.0
21467,Anmol,IN,3.0,F,1.0,0.0,0.0
21468,Hu,CN,3.0,M,0.0,1.0,0.0
31705,Gil,IL,1.0,M,0.0,1.0,0.0
45057,Richard Martin,CA,1.0,M,0.0,1.0,0.0
39483,Cheryl,US,1.0,F,0.99777424,0.0,0.0
48674,Hassan,NL,2.0,M,0.0,1.0,0.0
28763,Nettem Venkateswarlu,IN,1.0,?,0.0,0.0,1.0
7852,HeuiDong,KR,,not found,not found,not found,not found
51597,Norman,US,2.0,M,0.0,1.0,0.0
21469,Zhichen,CN,3.0,M,0.0,1.0,0.0
42995,Diwesh,IN,1.0,M,0.0,1.0,0.0
7853,Kyoshiro,JP,,not found,not found,not found,not found
47460,Daniel Justin,US,2.0,M,0.0,1.0,0.0
21470,Erh-Kun,TW,3.0,M,0.0,1.0,0.0
21471,Zhimin,CN,3.0,M,0.0,1.0,0.0
21472,Yuyan,CN,3.0,F,1.0,0.0,0.0
29673,Nigel Bruce,GB,1.0,M,0.0,1.0,0.0
7854,Junsuk,KR,,not found,not found,not found,not found
30053,Shefali,US,1.0,F,1.0,0.0,0.0
45406,Christian Andrés,US,1.0,M,0.0,1.0,0.0
47769,Dipanjan,US,2.0,M,0.0,1.0,0.0
45427,Frederick Jan,NL,1.0,M,0.0,1.0,0.0
7855,Yukinao,JP,,not found,not found,not found,not found
51033,Michael,CA,2.0,M,0.0,1.0,0.0
21473,Jaehong,KR,3.0,M,0.0,1.0,0.0
33308,Jean-Guy,FR,1.0,M,0.0,1.0,0.0
48369,George,US,2.0,M,0.0,1.0,0.0
35204,Hyun,KR,1.0,?,0.0,0.0,1.0
7856,Suwook,KR,,not found,not found,not found,not found
49367,Jim,US,2.0,M,0.0,1.0,0.0
38343,Ulrich,DE,1.0,M,0.0,1.0,0.0
41847,Arpita,US,1.0,F,1.0,0.0,0.0
44474,Takahiro,JP,1.0,M,0.0,1.0,0.0
7857,Qiulin,US,,not found,not found,not found,not found
27423,Hang,CA,1.0,F,1.0,0.0,0.0
7858,Yunming,CN,,not found,not found,not found,not found
49851,Jun,US,2.0,M,0.0,1.0,0.0
7859,Xutao,JP,,not found,not found,not found,not found
7860,Jeonggil,KR,,not found,not found,not found,not found
7861,Yuangang,CN,,not found,not found,not found,not found
7862,Wookjun,KR,,not found,not found,not found,not found
40233,Youn Ji,KR,1.0,?,0.0,0.0,1.0
53394,Thomas,US,2.0,M,0.0,1.0,0.0
21474,Yung-Chow,TW,3.0,M,0.0,1.0,0.0
7863,Suhyeon,KR,,not found,not found,not found,not found
7864,Seijung,KR,,not found,not found,not found,not found
7865,Zhuangzhi,US,,not found,not found,not found,not found
32252,Samrat,US,1.0,M,0.0,1.0,0.0
42641,Stefan,CH,1.0,M,0.0,1.0,0.0
50934,Matthew Mangzhu,US,2.0,M,0.0,1.0,0.0
21475,Yue,CN,3.0,F,1.0,0.0,0.0
21476,Jinho,KR,3.0,M,0.0,1.0,0.0
51108,Michael,US,2.0,M,0.0,1.0,0.0
33477,Kunihiko,JP,1.0,M,0.0,1.0,0.0
21477,Yen-Hsiang,TW,3.0,F,1.0,0.0,0.0
34175,Jung Hun,KR,1.0,?,0.0,0.0,1.0
7866,Jueping,CN,,not found,not found,not found,not found
7867,Ronglin,CN,,not found,not found,not found,not found
41283,Yuliya Yevgenyevna,KZ,1.0,F,1.0,0.0,0.0
7868,Hejia,CN,,not found,not found,not found,not found
7869,Yulun,US,,not found,not found,not found,not found
21478,Xueli,CN,3.0,F,1.0,0.0,0.0
7870,Youjun,CN,,not found,not found,not found,not found
42195,Yon-Kyun,KR,1.0,M,0.0,1.0,0.0
48247,Ghavam G.,US,2.0,F,1.0,0.0,0.0
7871,Jongho,KR,,not found,not found,not found,not found
7872,Rui,CN,,not found,not found,not found,not found
7873,Qiwen,CN,,not found,not found,not found,not found
53602,Gopalan V.,US,2.0,M,0.0,1.0,0.0
7874,Junyi,CN,,not found,not found,not found,not found
7875,Balamurugaramanathan,IN,,not found,not found,not found,not found
7876,Ge,CN,,not found,not found,not found,not found
21479,Jinglin,CN,3.0,F,1.0,0.0,0.0
28013,Raimon,ES,1.0,M,0.0,1.0,0.0
7877,Ponnivalavan,IN,,not found,not found,not found,not found
7878,Shixian,US,,not found,not found,not found,not found
7879,Seungwook,KR,,not found,not found,not found,not found
21480,Hua Qing,CN,3.0,M,0.0,1.0,0.0
7880,Zhaoduo,US,,not found,not found,not found,not found
53027,Simon,US,2.0,M,0.0,1.0,0.0
7881,Yuxiang,CN,,not found,not found,not found,not found
47615,David,US,2.0,M,0.0,1.0,0.0
40026,Chan Hyu,KR,1.0,M,0.0,1.0,0.0
51034,Michael Robert,CA,2.0,M,0.0,1.0,0.0
33616,Jeong Hoon,KR,1.0,?,0.0,0.0,1.0
32516,Sang Hyun,KR,1.0,?,0.0,0.0,1.0
51643,Onur,US,2.0,M,0.0,1.0,0.0
50197,Kevin,US,2.0,M,0.0,1.0,0.0
37947,Ulrike,DE,1.0,F,1.0,0.0,0.0
21481,Jaehan,KR,3.0,F,1.0,0.0,0.0
7882,An-Chyun,US,,not found,not found,not found,not found
54029,Xiangyu,NL,2.0,M,0.0,1.0,0.0
34495,Jong Hoon,KR,1.0,?,0.0,0.0,1.0
36162,Hui-Ling,US,1.0,F,0.98956358,0.0,0.0
7883,Hariharasudhan Chirra,US,,not found,not found,not found,not found
21482,Yushu,CN,3.0,M,0.0,1.0,0.0
53147,Stephen E.,US,2.0,M,0.0,1.0,0.0
51497,Nicholas E.,US,2.0,M,0.0,1.0,0.0
