,name_first,level,gender,F,M
20617,Klaus Jörg,3.0,M,0.0,1.0
83,Kai,,not found,not found,not found
20618,Dingkun,3.0,M,0.0,1.0
20619,Takashi,3.0,M,0.0,1.0
84,Masaru,,not found,not found,not found
20620,Glen S.,3.0,M,0.0,1.0
20621,Jian,3.0,M,0.0,1.0
20622,Youn Woong,3.0,M,0.0,1.0
85,Lin,,not found,not found,not found
86,Se-ho,,not found,not found,not found
20623,Søren,3.0,M,0.0,1.0
87,Ming-Chia,,not found,not found,not found
20624,Pritish Ranjan,3.0,M,0.0,1.0
20625,Yuxin,3.0,F,1.0,0.0
20626,Jae-Hoon,3.0,M,0.0,1.0
20627,Hua,3.0,M,0.0,1.0
88,Jen-Hsien,,not found,not found,not found
20628,Yong,3.0,M,0.0,1.0
89,Hyun Ju,,not found,not found,not found
20629,Dong Joon,3.0,M,0.0,1.0
20630,Jiwon,3.0,F,1.0,0.0
20631,Glenn,3.0,M,0.0,1.0
20632,Terkel,3.0,M,0.0,1.0
20633,Giovanni,3.0,M,0.0,1.0
20634,Hyun Chul,3.0,M,0.0,1.0
90,Chi,,not found,not found,not found
20635,Kenichi,3.0,M,0.0,1.0
91,Fengyuan,,not found,not found,not found
20636,Kelley Maria,3.0,F,1.0,0.0
20637,Razman,3.0,M,0.0,1.0
92,Shichang,,not found,not found,not found
20638,Patel Amitkumar,3.0,M,0.0,1.0
20639,Athul,3.0,M,0.0,1.0
93,Qun-Qing,,not found,not found,not found
94,Schayne,,not found,not found,not found
20640,Ji Su,3.0,F,1.0,0.0
95,Ho-Dong,,not found,not found,not found
20641,Mounica,3.0,F,1.0,0.0
96,Xijia,,not found,not found,not found
97,Junhua,,not found,not found,not found
20642,Golnaz,3.0,F,1.0,0.0
20643,Zhou,3.0,M,0.0,1.0
20644,Cui,3.0,F,1.0,0.0
20645,Jialun,3.0,M,0.0,1.0
20646,Qian,3.0,M,0.0,1.0
98,Minglei,,not found,not found,not found
99,Makoto,,not found,not found,not found
100,Woon-Geun,,not found,not found,not found
20647,Min Woo,3.0,M,0.0,1.0
101,Ran,,not found,not found,not found
