,name_first,country,level,gender,F,M,?
29052,Karthikeyan,US,1.0,M,0.0,1.0,0.0
45,Yang,CN,,not found,not found,not found,not found
17708,Huihui,CN,3.0,F,1.0,0.0,0.0
17709,Francois,KR,3.0,M,0.0,1.0,0.0
38050,Rachel Marie,US,1.0,F,0.99679464,0.0,0.0
41020,Shashidhar Narayana,IN,1.0,M,0.0,1.0,0.0
36529,Yoshirou,JP,1.0,M,0.0,1.0,0.0
35777,Suman,US,1.0,F,0.91666669,0.0,0.0
46,Chanho,KR,,not found,not found,not found,not found
53856,Wayne,US,2.0,M,0.0,1.0,0.0
53263,Steven T.,US,2.0,M,0.0,1.0,0.0
47190,Chenlu,US,2.0,F,1.0,0.0,0.0
36301,Takashi,JP,1.0,M,0.0,1.0,0.0
36363,Yoo Jin,KR,1.0,?,0.0,0.0,1.0
47,Zongyan,CN,,not found,not found,not found,not found
48,Jeo-Yen,TW,,not found,not found,not found,not found
40476,Sarbajit,IN,1.0,M,0.0,1.0,0.0
49,Jun-Gyu,KR,,not found,not found,not found,not found
50,Suhyeon,KR,,not found,not found,not found,not found
51,Yanran,US,,not found,not found,not found,not found
42585,Dalia,US,1.0,F,0.9994393,0.0,0.0
52,Hasup,KR,,not found,not found,not found,not found
43110,Brooke,US,1.0,F,0.98889548,0.0,0.0
53,Kyung-joong,KR,,not found,not found,not found,not found
17710,Kukulage Nomal Samunda,AU,3.0,M,0.0,1.0,0.0
29903,Milda,LT,1.0,F,1.0,0.0,0.0
38514,Ryota,JP,1.0,M,0.0,1.0,0.0
39635,Shuang,US,1.0,F,1.0,0.0,0.0
39273,Pedram,SE,1.0,M,0.0,1.0,0.0
31366,Martin,IE,1.0,M,0.0,1.0,0.0
54,Rittwik,US,,not found,not found,not found,not found
55,Zuo-Wen,TW,,not found,not found,not found,not found
51631,Nicolas,AR,2.0,M,0.0,1.0,0.0
46267,Andres,FR,2.0,M,0.0,1.0,0.0
17711,Bing,CN,3.0,M,0.0,1.0,0.0
46070,Alejandro,DE,2.0,M,0.0,1.0,0.0
32532,Geetika,IN,1.0,F,1.0,0.0,0.0
56,Hyeju,KR,,not found,not found,not found,not found
33352,Jing,US,1.0,F,0.92206907,0.0,0.0
57,Jinuk,KR,,not found,not found,not found,not found
17712,Ping,CN,3.0,M,0.0,1.0,0.0
58,Tianzhu,CN,,not found,not found,not found,not found
48174,Erik H.,US,2.0,M,0.0,1.0,0.0
59,GeunHo,KR,,not found,not found,not found,not found
35908,Sun Ja,KR,1.0,?,0.0,0.0,1.0
60,Lele,US,,not found,not found,not found,not found
61,Ferdyan,US,,not found,not found,not found,not found
17713,Hongbo,CN,3.0,M,0.0,1.0,0.0
62,Ho-sang,KR,,not found,not found,not found,not found
17714,Hangyu,KR,3.0,M,0.0,1.0,0.0
44674,Ga Eul,KR,1.0,?,0.0,0.0,1.0
48988,Ioannis,CY,2.0,M,0.0,1.0,0.0
63,Wenzhe,CN,,not found,not found,not found,not found
64,Likang,US,,not found,not found,not found,not found
65,Shaofeng,CN,,not found,not found,not found,not found
53963,William,US,2.0,M,0.0,1.0,0.0
66,Zhengyi,CN,,not found,not found,not found,not found
43659,Avinash Tiruchanapalli,US,1.0,M,0.0,1.0,0.0
30044,Maurizio,IT,1.0,M,0.0,1.0,0.0
67,Noone,US,,not found,not found,not found,not found
68,Po-Hsiang,TW,,not found,not found,not found,not found
69,Yu-Na,KR,,not found,not found,not found,not found
70,Yongzhao,CN,,not found,not found,not found,not found
43549,Fabrizio,IT,1.0,M,0.0,1.0,0.0
28375,Klaus Jörg,DE,1.0,M,0.0,1.0,0.0
50092,Kai,CN,2.0,M,0.0,1.0,0.0
47899,Dingkun,US,2.0,M,0.0,1.0,0.0
36300,Takashi,JP,1.0,M,0.0,1.0,0.0
31053,Masaru,JP,1.0,M,0.0,1.0,0.0
48573,Glen S.,US,2.0,M,0.0,1.0,0.0
17715,Jian,CN,3.0,M,0.0,1.0,0.0
36454,Youn Woong,KR,1.0,?,0.0,0.0,1.0
71,Lin,CN,,not found,not found,not found,not found
72,Se-ho,KR,,not found,not found,not found,not found
35724,Søren,DK,1.0,M,0.0,1.0,0.0
73,Ming-Chia,TW,,not found,not found,not found,not found
52270,Pritish Ranjan,US,2.0,M,0.0,1.0,0.0
17716,Yuxin,CN,3.0,F,1.0,0.0,0.0
34221,Jae-Hoon,KR,1.0,M,0.0,1.0,0.0
17717,Hua,CN,3.0,M,0.0,1.0,0.0
74,Jen-Hsien,US,,not found,not found,not found,not found
54377,Yong,US,2.0,M,0.0,1.0,0.0
32099,Hyun Ju,KR,1.0,?,0.0,0.0,1.0
44287,Dong Joon,KR,1.0,M,0.0,1.0,0.0
